price,postal_code,address,mls,bed,full_bath,half_bath,property_area,property_type
339900,T1Y 4E8,7172 TEMPLE DR NE,A1046765,5.0,2.0,1.0,1066.0,house
235000,T2V 2W3,611 - 8880 HORTON RD SW,A1045446,1.0,1.0,,723.0,condo
299888,T3C 3X6,402 - 77 SPRUCE PL SW,A1046854,2.0,2.0,,889.0,condo
949900,T2T 3X9,3710 14A ST SW,A1046690,4.0,3.0,1.0,1845.0,house
334900,T3G 4J5,155 Citadel Drive NW,A1044809,3.0,2.0,1.0,1389.0,townhouse
144900,T3A 2E6,808 - 4944 DALTON DR NW,A1046812,2.0,1.0,,790.0,condo
445000,T3G 4L7,34 ARBOUR BUTTE RD NW,A1045967,3.0,2.0,1.0,1548.0,house
329900,T3L 3C2,15 Toscana Gardens NW,A1046451,2.0,2.0,1.0,1345.0,townhouse
224900,T3M 2R1,312 - 10 MAHOGANY MEWS SE,A1046038,2.0,1.0,,615.0,condo
399900,T2V 1S4,9608 24 ST SW,A1046388,4.0,1.0,1.0,1303.0,house
299900,T3E 6R4,3116 51 ST SW,A1046666,4.0,2.0,,821.0,house
597900,T3P 0K3,100 EVANSFIELD PL NW,A1046587,4.0,3.0,1.0,2467.0,house
349000,T3M 1C3,110 CRAMOND PL SE,A1046724,3.0,2.0,1.0,1245.0,house
635000,T3E 4W3,44 GRAFTON DR SW,A1046785,4.0,3.0,,1292.0,house
319900,T2W 1G1,10304 ELBOW DR SW,A1046733,3.0,1.0,,1040.0,house
450000,T3H 1L3,72 STRATHCONA CLOSE SW,A1045577,4.0,2.0,1.0,1082.0,house
328800,T2Z 5B9,628 Copperpond Boulevard SE,A1046507,3.0,2.0,1.0,1451.0,townhouse
419900,T2N 4Y8,202 - 1726 14 AVE NW,A1046716,2.0,2.0,,1092.0,condo
629900,T3L 0A7,94 TUSCANY RESERVE RISE NW,A1044112,3.0,2.0,1.0,2159.0,house
699000,T2M 2H8,532 27 AVE NW,A1046430,4.0,3.0,1.0,1772.0,house
249900,T2E 0L2,208 - 532 5 AVE NE,A1046342,2.0,2.0,,1065.0,condo
624900,T2Y 5H9,22 EVERGREEN PK SW,A1046598,5.0,3.0,1.0,2366.0,house
