latitude,longitude,year_built,years_old,distance_downtown,monthly_payments,lot_size,basement,garage,mls
51.091128999999995,-113.95614099999999,1979.0,41.0,9.71,1469.77,4790,1.0,1.0,A1046765
50.975173999999996,-114.073925,2010.0,10.0,7.76,1016.17,,0.0,1.0,A1045446
51.042621000000004,-114.13671000000001,2008.0,12.0,4.4,1296.75,,0.0,0.0,A1046854
51.021817999999996,-114.09590700000001,2013.0,7.0,3.0,4107.48,3132,1.0,1.0,A1046690
51.142426,-114.180925,1995.0,25.0,13.17,1448.15,2314,1.0,1.0,A1044809
51.102488,-114.154494,1977.0,43.0,8.52,626.57,,0.0,0.0,A1046812
51.140205,-114.20016799999999,1997.0,23.0,13.78,1924.23,4069,1.0,1.0,A1045967
51.121067,-114.254993,2004.0,16.0,15.22,1426.53,na,0.0,1.0,A1046451
50.897224,-113.93975400000001,2017.0,3.0,18.93,972.5,,0.0,0.0,A1046038
50.969084,-114.117433,1968.0,52.0,8.97,1729.22,7922,1.0,1.0,A1046388
51.026123,-114.160577,1979.0,41.0,6.41,1296.8,2820,1.0,1.0,A1046666
51.177351,-114.110308,2012.0,8.0,14.94,2585.39,5468,1.0,1.0,A1046587
50.8934,-113.979031,2001.0,19.0,18.12,1509.12,2669,1.0,1.0,A1046724
51.015048,-114.14411499999999,1958.0,62.0,5.93,2745.82,5996,1.0,1.0,A1046785
50.961657,-114.084377,1961.0,59.0,9.29,1383.29,5500,1.0,1.0,A1046733
51.046104,-114.165796,1980.0,40.0,6.42,1945.86,4618,1.0,0.0,A1045577
50.924331,-113.921995,2014.0,6.0,17.12,1421.77,1442,0.0,1.0,A1046507
51.065463,-114.10179199999999,2003.0,17.0,3.0,1815.7,,0.0,1.0,A1046716
51.135815,-114.25481699999999,2006.0,14.0,16.18,2723.77,5490,1.0,1.0,A1044112
51.077191,-114.07325900000001,2006.0,14.0,3.59,3022.56,3014,1.0,1.0,A1046430
51.091128999999995,-113.95614099999999,1979.0,41.0,9.71,1469.77,4790,1.0,1.0,A1046765
50.975173999999996,-114.073925,2010.0,10.0,7.76,1016.17,,0.0,1.0,A1045446
51.042621000000004,-114.13671000000001,2008.0,12.0,4.4,1296.75,,0.0,0.0,A1046854
51.021817999999996,-114.09590700000001,2013.0,7.0,3.0,4107.48,3132,1.0,1.0,A1046690
51.142426,-114.180925,1995.0,25.0,13.17,1448.15,2314,1.0,1.0,A1044809
51.102488,-114.154494,1977.0,43.0,8.52,626.57,,0.0,0.0,A1046812
51.140205,-114.20016799999999,1997.0,23.0,13.78,1924.23,4069,1.0,1.0,A1045967
51.121067,-114.254993,2004.0,16.0,15.22,1426.53,na,0.0,1.0,A1046451
50.897224,-113.93975400000001,2017.0,3.0,18.93,972.5,,0.0,0.0,A1046038
50.969084,-114.117433,1968.0,52.0,8.97,1729.22,7922,1.0,1.0,A1046388
51.026123,-114.160577,1979.0,41.0,6.41,1296.8,2820,1.0,1.0,A1046666
51.177351,-114.110308,2012.0,8.0,14.94,2585.39,5468,1.0,1.0,A1046587
50.8934,-113.979031,2001.0,19.0,18.12,1509.12,2669,1.0,1.0,A1046724
51.015048,-114.14411499999999,1958.0,62.0,5.93,2745.82,5996,1.0,1.0,A1046785
50.961657,-114.084377,1961.0,59.0,9.29,1383.29,5500,1.0,1.0,A1046733
51.046104,-114.165796,1980.0,40.0,6.42,1945.86,4618,1.0,0.0,A1045577
50.924331,-113.921995,2014.0,6.0,17.12,1421.77,1442,0.0,1.0,A1046507
51.065463,-114.10179199999999,2003.0,17.0,3.0,1815.7,,0.0,1.0,A1046716
51.135815,-114.25481699999999,2006.0,14.0,16.18,2723.77,5490,1.0,1.0,A1044112
51.077191,-114.07325900000001,2006.0,14.0,3.59,3022.56,3014,1.0,1.0,A1046430
51.091128999999995,-113.95614099999999,1979.0,41.0,9.71,1469.77,4790,1.0,1.0,A1046765
50.975173999999996,-114.073925,2010.0,10.0,7.76,1016.17,,0.0,1.0,A1045446
51.042621000000004,-114.13671000000001,2008.0,12.0,4.4,1296.75,,0.0,0.0,A1046854
51.021817999999996,-114.09590700000001,2013.0,7.0,3.0,4107.48,3132,1.0,1.0,A1046690
51.142426,-114.180925,1995.0,25.0,13.17,1448.15,2314,1.0,1.0,A1044809
51.102488,-114.154494,1977.0,43.0,8.52,626.57,,0.0,0.0,A1046812
51.140205,-114.20016799999999,1997.0,23.0,13.78,1924.23,4069,1.0,1.0,A1045967
51.121067,-114.254993,2004.0,16.0,15.22,1426.53,na,0.0,1.0,A1046451
50.897224,-113.93975400000001,2017.0,3.0,18.93,972.5,,0.0,0.0,A1046038
50.969084,-114.117433,1968.0,52.0,8.97,1729.22,7922,1.0,1.0,A1046388
51.026123,-114.160577,1979.0,41.0,6.41,1296.8,2820,1.0,1.0,A1046666
51.177351,-114.110308,2012.0,8.0,14.94,2585.39,5468,1.0,1.0,A1046587
50.8934,-113.979031,2001.0,19.0,18.12,1509.12,2669,1.0,1.0,A1046724
51.015048,-114.14411499999999,1958.0,62.0,5.93,2745.82,5996,1.0,1.0,A1046785
50.961657,-114.084377,1961.0,59.0,9.29,1383.29,5500,1.0,1.0,A1046733
51.046104,-114.165796,1980.0,40.0,6.42,1945.86,4618,1.0,0.0,A1045577
50.924331,-113.921995,2014.0,6.0,17.12,1421.77,1442,0.0,1.0,A1046507
51.065463,-114.10179199999999,2003.0,17.0,3.0,1815.7,,0.0,1.0,A1046716
51.135815,-114.25481699999999,2006.0,14.0,16.18,2723.77,5490,1.0,1.0,A1044112
51.077191,-114.07325900000001,2006.0,14.0,3.59,3022.56,3014,1.0,1.0,A1046430
,,2005.0,15.0,,1080.6,,0.0,1.0,A1046342
,,2005.0,15.0,,2702.14,508.00,1.0,1.0,A1046598
,,2012.0,8.0,,1231.89,0,1.0,1.0,A1046583
,,1981.0,39.0,,1448.58,275.00,1.0,1.0,A1046638
,,,,,1253.56,"0.000-4,050 sqft",0.0,1.0,A1046590
,,,,,1015.74,Unknown,0.0,0.0,A1046625
,,1980.0,40.0,,3545.35,5683,1.0,1.0,A1046447
,,2009.0,11.0,,1383.72,259.00,0.0,1.0,A1046588
,,2007.0,13.0,,1803.16,3261.00,1.0,0.0,A1045693
,,1997.0,23.0,,2334.97,4402,1.0,1.0,A1044982
,,2000.0,20.0,,1513.01,464.00,1.0,1.0,A1045031
,,1977.0,43.0,,806.88,,0.0,0.0,A1044674
,,2019.0,1.0,,,,0.0,0.0,
,,,,,2248.11,3681,1.0,1.0,A1046599
,,,,,1837.75,3003,1.0,1.0,A1046284
,,2006.0,14.0,,1167.08,2174,1.0,0.0,A1046347
,,1910.0,110.0,,1465.88,3294,1.0,1.0,A1046450
,,1992.0,28.0,,1984.77,na,0.0,0.0,A1046317
,,1969.0,51.0,,734.67,,0.0,0.0,A1046546
51.02428,-113.979354,2013.0,7.0,7.01,1469.34,4402,1.0,1.0,A1045085
,,1962.0,58.0,,1080.6,,0.0,1.0,A1046342
,,1970.0,50.0,,2702.14,508.00,1.0,1.0,A1046598
,,2005.0,15.0,,1231.89,0,1.0,1.0,A1046583
,,2005.0,15.0,,1448.58,275.00,1.0,1.0,A1046638
,,2012.0,8.0,,1253.56,"0.000-4,050 sqft",0.0,1.0,A1046590
,,1981.0,39.0,,1015.74,Unknown,0.0,0.0,A1046625
,,,,,3545.35,5683,1.0,1.0,A1046447
,,,,,1383.72,259.00,0.0,1.0,A1046588
,,1980.0,40.0,,1803.16,3261.00,1.0,0.0,A1045693
,,2009.0,11.0,,2334.97,4402,1.0,1.0,A1044982
,,2007.0,13.0,,1513.01,464.00,1.0,1.0,A1045031
,,1997.0,23.0,,806.88,,0.0,0.0,A1044674
,,2000.0,20.0,,,,0.0,0.0,
,,1977.0,43.0,,2248.11,3681,1.0,1.0,A1046599
,,2019.0,1.0,,1837.75,3003,1.0,1.0,A1046284
,,,,,1167.08,2174,1.0,0.0,A1046347
,,,,,1465.88,3294,1.0,1.0,A1046450
,,2006.0,14.0,,1984.77,na,0.0,0.0,A1046317
,,1910.0,110.0,,734.67,,0.0,0.0,A1046546
51.02428,-113.979354,1992.0,28.0,7.01,1469.34,4402,1.0,1.0,A1045085
,,1969.0,51.0,,1080.6,,0.0,1.0,A1046342
,,2013.0,7.0,,2702.14,508.00,1.0,1.0,A1046598
,,1962.0,58.0,,1231.89,0,1.0,1.0,A1046583
,,1970.0,50.0,,1448.58,275.00,1.0,1.0,A1046638
,,2005.0,15.0,,1253.56,"0.000-4,050 sqft",0.0,1.0,A1046590
,,2005.0,15.0,,1015.74,Unknown,0.0,0.0,A1046625
,,2012.0,8.0,,3545.35,5683,1.0,1.0,A1046447
,,1981.0,39.0,,1383.72,259.00,0.0,1.0,A1046588
,,,,,1803.16,3261.00,1.0,0.0,A1045693
,,,,,2334.97,4402,1.0,1.0,A1044982
,,1980.0,40.0,,1513.01,464.00,1.0,1.0,A1045031
,,2009.0,11.0,,806.88,,0.0,0.0,A1044674
,,2007.0,13.0,,,,0.0,0.0,
,,1997.0,23.0,,2248.11,3681,1.0,1.0,A1046599
,,2000.0,20.0,,1837.75,3003,1.0,1.0,A1046284
,,1977.0,43.0,,1167.08,2174,1.0,0.0,A1046347
,,2019.0,1.0,,1465.88,3294,1.0,1.0,A1046450
,,,,,1984.77,na,0.0,0.0,A1046317
,,,,,734.67,,0.0,0.0,A1046546
51.02428,-113.979354,2006.0,14.0,7.01,1469.34,4402,1.0,1.0,A1045085
51.065205999999996,-114.17551,1910.0,110.0,7.45,3458.87,7546,1.0,1.0,A1046371
51.077583000000004,-113.923442,1992.0,28.0,11.13,1123.84,na,0.0,1.0,A1044920
,,1969.0,51.0,,,2999,0.0,0.0,A1046179
51.034862,-114.10988400000001,2013.0,7.0,2.75,2810.25,5543,1.0,1.0,A1042539
50.989228000000004,-114.054796,1962.0,58.0,6.34,1812.37,11761,1.0,1.0,A1046324
51.127165000000005,-114.157997,1970.0,50.0,10.87,2486.37,5780,1.0,1.0,A1046315
50.924576,-114.121338,1987.0,33.0,13.79,,,0.0,0.0,
51.121527,-114.17576799999999,2008.0,12.0,11.1,2075.58,5942,1.0,1.0,A1046297
50.930149,-114.118673,,,13.15,,,0.0,0.0,
,,,,,2810.68,5931,1.0,1.0,A1046163
,,1953.0,67.0,,1296.8,,0.0,0.0,A1046054
51.024389,-114.185255,1962.0,58.0,8.11,886.45,,0.0,0.0,A1046164
,,1981.0,39.0,,4056.03,6308,1.0,1.0,A1045372
,,,,,77.4,na,0.0,0.0,A1046296
,,,,,475.22,,0.0,0.0,A1046308
,,1978.0,42.0,,972.93,,0.0,1.0,A1045776
,,,,,777.86,,0.0,0.0,A1046326
,,,,,2248.11,na,0.0,0.0,A1046327
,,1996.0,24.0,,2114.5,5996,1.0,1.0,A1044910
,,2013.0,7.0,,2075.09,4123,1.0,1.0,A1046195
51.065205999999996,-114.17551,1997.0,23.0,7.45,3458.87,7546,1.0,1.0,A1046371
51.077583000000004,-113.923442,2005.0,15.0,11.13,1123.84,na,0.0,1.0,A1044920
,,1976.0,44.0,,,2999,0.0,0.0,A1046179
51.034862,-114.10988400000001,1981.0,39.0,2.75,2810.25,5543,1.0,1.0,A1042539
50.989228000000004,-114.054796,2008.0,12.0,6.34,1812.37,11761,1.0,1.0,A1046324
51.127165000000005,-114.157997,2008.0,12.0,10.87,2486.37,5780,1.0,1.0,A1046315
50.924576,-114.121338,2016.0,4.0,13.79,,,0.0,0.0,
51.121527,-114.17576799999999,1958.0,62.0,11.1,2075.58,5942,1.0,1.0,A1046297
50.930149,-114.118673,1992.0,28.0,13.15,,,0.0,0.0,
,,1987.0,33.0,,2810.68,5931,1.0,1.0,A1046163
,,2008.0,12.0,,1296.8,,0.0,0.0,A1046054
51.024389,-114.185255,,,8.11,886.45,,0.0,0.0,A1046164
,,,,,4056.03,6308,1.0,1.0,A1045372
,,1953.0,67.0,,77.4,na,0.0,0.0,A1046296
,,1962.0,58.0,,475.22,,0.0,0.0,A1046308
