price,bed,full_bath,half_bath,property_area,years_old,distance_downtown,lot_size,basement,garage,walk_score,bike_score,transit_score,house,condo,townhouse
219900,2.0,2.0,1.0,1109.0,22.0,15.44,1109.0,1.0,0.0,17,62,39,0,0,1
549000,3.0,3.0,1.0,1211.0,2.0,1.89,1211.0,0.0,1.0,74,98,61,0,0,1
394000,2.0,2.0,1.0,1046.0,13.0,3.22,1046.0,0.0,1.0,55,90,60,0,0,1
285000,2.0,1.0,0.0,849.0,14.0,1.65,849.0,0.0,1.0,72,97,58,0,1,0
439000,3.0,2.0,1.0,1126.0,38.0,2.55,1126.0,0.0,0.0,36,70,53,0,0,1
429000,2.0,2.0,1.0,1010.0,10.0,2.43,1010.0,1.0,1.0,50,78,50,0,0,1
575000,3.0,3.0,1.0,1801.0,12.0,4.17,1801.0,0.0,1.0,65,85,58,0,0,1
499999,3.0,3.0,1.0,1219.0,59.0,3.4,1219.0,0.0,1.0,51,79,56,0,0,1
132500,1.0,1.0,0.0,624.0,25.0,4.25,624.0,0.0,0.0,37,84,49,0,1,0
199900,3.0,1.0,1.0,958.0,31.0,4.25,958.0,0.0,0.0,37,84,49,0,1,0
265000,2.0,1.0,1.0,526.0,26.0,4.6,526.0,1.0,0.0,63,81,57,0,0,1
145000,1.0,1.0,0.0,476.0,6.0,1.44,476.0,0.0,0.0,89,99,67,0,1,0
619000,3.0,3.0,1.0,1278.0,1.0,2.73,6501.0,0.0,1.0,49,90,53,0,0,1
394900,2.0,1.0,1.0,1374.0,15.0,1.44,1374.0,0.0,1.0,91,98,68,0,0,1
439800,2.0,1.0,1.0,1348.0,5.0,1.44,1348.0,0.0,1.0,91,98,68,0,0,1
339000,3.0,1.0,1.0,1167.0,40.0,9.12,1167.0,0.0,1.0,35,80,33,0,0,1
260000,2.0,1.0,0.0,824.0,28.0,1.66,824.0,0.0,0.0,84,99,67,0,1,0
95000,3.0,2.0,0.0,1203.0,14.0,11.02,1203.0,0.0,1.0,4,56,39,0,0,0
824900,4.0,3.0,1.0,2722.0,39.0,13.65,6986.0,1.0,1.0,0,26,26,1,0,0
370000,4.0,3.0,0.0,1254.0,95.0,10.22,4392.0,1.0,1.0,22,55,38,1,0,0
274800,2.0,1.0,1.0,1295.0,22.0,7.13,1295.0,0.0,1.0,51,56,44,0,0,1
319900,3.0,2.0,1.0,1331.0,42.0,7.2,1331.0,0.0,1.0,51,56,44,0,0,1
199900,2.0,1.0,0.0,1040.0,14.0,5.92,1040.0,0.0,0.0,51,84,54,0,0,1
565000,5.0,3.0,1.0,2003.0,2.0,14.82,1169.0,1.0,1.0,0,30,0,1,0,0
450000,2.0,2.0,0.0,904.0,17.0,0.89,904.0,0.0,1.0,83,88,81,0,1,0
515000,2.0,2.0,1.0,1130.0,12.0,0.88,1130.0,0.0,1.0,83,88,81,0,1,0
500000,2.0,2.0,1.0,1163.0,7.0,0.88,1163.0,0.0,1.0,83,88,81,0,1,0
359900,2.0,2.0,0.0,1042.0,6.0,1.18,1042.0,0.0,0.0,87,94,76,0,1,0
239000,1.0,1.0,0.0,510.0,45.0,1.7,510.0,0.0,1.0,65,93,75,0,1,0
435000,3.0,2.0,1.0,978.0,41.0,1.09,978.0,1.0,0.0,92,99,78,0,0,1
289900,2.0,1.0,1.0,1196.0,68.0,1.15,1196.0,0.0,1.0,91,97,69,0,1,0
369000,1.0,1.0,0.0,796.0,13.0,9.02,796.0,0.0,0.0,22,51,29,0,1,0
359900,1.0,1.0,0.0,725.0,-1.0,9.08,725.0,0.0,1.0,22,51,29,0,1,0
499900,2.0,2.0,0.0,1258.0,2.0,9.08,1258.0,0.0,1.0,22,51,29,0,1,0
719900,4.0,3.0,1.0,1727.0,44.0,2.75,2992.0,1.0,1.0,70,99,61,1,0,0
508800,4.0,2.0,1.0,1288.0,0.0,5.09,6275.0,1.0,1.0,45,63,39,1,0,0
240000,2.0,2.0,0.0,935.0,5.0,2.0,935.0,0.0,0.0,79,91,66,0,1,0
240000,2.0,2.0,0.0,927.0,15.0,1.97,927.0,0.0,0.0,79,91,66,0,1,0
199900,1.0,1.0,0.0,648.0,38.0,1.96,648.0,0.0,0.0,75,96,73,0,1,0
168800,2.0,1.0,0.0,705.0,48.0,7.78,705.0,0.0,0.0,67,96,62,0,1,0
229900,3.0,1.0,1.0,1107.0,61.0,7.35,1107.0,0.0,0.0,46,68,53,0,0,1
319000,3.0,2.0,1.0,1219.0,53.0,14.07,1219.0,0.0,1.0,14,54,36,0,0,1
679000,5.0,3.0,1.0,2599.0,22.0,14.01,4112.0,1.0,1.0,30,56,38,1,0,0
172900,1.0,1.0,0.0,515.0,2.0,20.72,515.0,0.0,0.0,0,1,0,0,1,0
277928,2.0,1.0,0.0,703.0,0.0,21.06,703.0,0.0,1.0,0,1,0,0,0,1
264900,2.0,2.0,0.0,867.0,45.0,20.65,867.0,0.0,0.0,0,1,0,0,1,0
206900,2.0,1.0,0.0,554.0,37.0,20.68,554.0,0.0,1.0,0,1,0,0,0,1
