price,postal_code,address,bed,full_bath,half_bath,property_area,property_type,latitude,longitude,year_built,years_old,distance_downtown,monthly_payments
334786,T3J1K5,116 FALTON WAY NE,3.0,1.0,1.0,1179.0,house,51.102699,-113.942978,1980.0,40.0,11.18273182105422,1447.65
469900,T2Z0R3,239 COPPERPOND BAY SE,3.0,2.0,1.0,2136.0,house,50.919753,-113.921865,2011.0,9.0,17.531321901647406,2031.91
585000,T3B5X8,25 CRESTHAVEN WAY SW,3.0,2.0,1.0,1556.0,house,51.085291999999995,-114.264517,2002.0,18.0,14.055942946629264,2529.61
614900,T3M2J9,28 MAHOGANY PK SE,3.0,3.0,1.0,2166.0,house,50.887413,-113.94011100000002,2017.0,3.0,19.87334043827771,2658.9
478800,T3M0X6,117 MAHOGANY HTS SE,4.0,3.0,1.0,1703.0,house,50.903714,-113.93411299999998,2011.0,9.0,18.51259582066417,2070.39
599990,T2X4S2,99 YORKSTONE WAY SW,4.0,2.0,1.0,2711.0,house,50.87709,-114.08111799999999,2020.0,0.0,18.677613916377567,2594.43
599990,T2X4S2,99 YORKSTONE WAY SW,4.0,2.0,1.0,2711.0,house,50.876865,-114.082027,,,18.704448482405493,2075.54
599990,T2X4S2,99 YORKSTONE WAY SW,4.0,2.0,1.0,2711.0,house,50.876865,-114.082027,1974.0,46.0,18.704448482405493,2075.54
599990,T2X4S2,99 YORKSTONE WAY SW,4.0,2.0,1.0,2711.0,house,50.876865,-114.082027,2019.0,1.0,18.704448482405493,2075.54
479990,T2X4S2,141 YORKSTONE WAY SW,3.0,2.0,1.0,2043.0,house,50.87709,-114.08111799999999,2020.0,0.0,18.677613916377567,2594.43
479990,T2X4S2,141 YORKSTONE WAY SW,3.0,2.0,1.0,2043.0,house,50.876865,-114.082027,,,18.704448482405493,2075.54
479990,T2X4S2,141 YORKSTONE WAY SW,3.0,2.0,1.0,2043.0,house,50.876865,-114.082027,1974.0,46.0,18.704448482405493,2075.54
479990,T2X4S2,141 YORKSTONE WAY SW,3.0,2.0,1.0,2043.0,house,50.876865,-114.082027,2019.0,1.0,18.704448482405493,2075.54
270000,T2B0J8,3451 32A AVE SE,2.0,2.0,,1030.0,house,51.024664,-113.983104,1970.0,50.0,6.743437971856483,1167.51
499900,T3M0E1,131 AUBURN SOUND VIEW SE,3.0,3.0,1.0,2277.0,house,50.888699,-113.96396100000001,2006.0,14.0,19.011007993909278,2161.63
575000,T2G0Z2,910 11 AVE SE,3.0,2.0,,1116.0,house,51.040393,-114.041069,1911.0,109.0,2.355094819222449,2486.37
379900,T3N1J9,1232 CORNERSTONE WAY NE,3.0,2.0,1.0,1424.0,house,51.148143,-113.923801,2021.0,-1.0,15.548859422540932,1642.73
189000,T2R1J7,806 - 735 12 AVE SW,2.0,1.0,,897.0,condo,51.041579,-114.07862,1981.0,39.0,0.4968493882881029,817.26
189000,T2R1J7,806 - 735 12 AVE SW,2.0,1.0,,897.0,condo,51.041579,-114.07862,1948.0,72.0,0.4968493882881029,950.87
189000,T2R1J7,806 - 735 12 AVE SW,2.0,1.0,,897.0,condo,51.041579,-114.07862,2015.0,5.0,0.4968493882881029,950.87
189000,T2R1J7,806 - 735 12 AVE SW,2.0,1.0,,897.0,condo,51.041579,-114.07862,1978.0,42.0,0.4968493882881029,950.87
219900,T2R1J7,401 - 735 12 AVE SW,1.0,1.0,,601.0,condo,51.041579,-114.07862,1981.0,39.0,0.4968493882881029,817.26
219900,T2R1J7,401 - 735 12 AVE SW,1.0,1.0,,601.0,condo,51.041579,-114.07862,1948.0,72.0,0.4968493882881029,950.87
219900,T2R1J7,401 - 735 12 AVE SW,1.0,1.0,,601.0,condo,51.041579,-114.07862,2015.0,5.0,0.4968493882881029,950.87
219900,T2R1J7,401 - 735 12 AVE SW,1.0,1.0,,601.0,condo,51.041579,-114.07862,1978.0,42.0,0.4968493882881029,950.87
529000,T2H0G9,5524 2 ST SW,1.0,1.0,,908.0,house,51.004761,-114.068281,1930.0,90.0,4.487646007977135,2287.46
365000,T2Z4C2,172 COPPERFIELD GDNS SE,3.0,3.0,1.0,1532.0,house,50.909892,-113.947448,2002.0,18.0,17.44032683549561,1578.31
395000,T2X0T4,50 CHAPARRAL VALLEY COMMON SE,3.0,2.0,,1556.0,house,50.884562,-114.016893,2013.0,7.0,18.28212904934795,1708.03
514900,T2W1M3,1031 CANTABRIAN DR SW,6.0,2.0,1.0,1225.0,house,50.945448999999996,-114.08313700000001,1970.0,50.0,11.08596056448434,2226.49
514900,T2W1M3,1031 CANTABRIAN DR SW,6.0,2.0,1.0,1225.0,house,50.945438,-114.082628,2014.0,6.0,11.085173420171303,2546.04
514900,T2W1M3,1031 CANTABRIAN DR SW,6.0,2.0,1.0,1225.0,house,50.945438,-114.082628,2008.0,12.0,11.085173420171303,2546.04
514900,T2W1M3,1031 CANTABRIAN DR SW,6.0,2.0,1.0,1225.0,house,50.945438,-114.082628,2019.0,1.0,11.085173420171303,2546.04
588800,T2W1M3,1023 CANTABRIAN DR SW,4.0,2.0,1.0,1212.0,house,50.945448999999996,-114.08313700000001,1970.0,50.0,11.08596056448434,2226.49
588800,T2W1M3,1023 CANTABRIAN DR SW,4.0,2.0,1.0,1212.0,house,50.945438,-114.082628,2014.0,6.0,11.085173420171303,2546.04
588800,T2W1M3,1023 CANTABRIAN DR SW,4.0,2.0,1.0,1212.0,house,50.945438,-114.082628,2008.0,12.0,11.085173420171303,2546.04
588800,T2W1M3,1023 CANTABRIAN DR SW,4.0,2.0,1.0,1212.0,house,50.945438,-114.082628,2019.0,1.0,11.085173420171303,2546.04
288000,T2Y0H1,94 Everridge Gardens SW,3.0,2.0,1.0,1151.0,townhouse,50.910340000000005,-114.122724,2006.0,14.0,15.357080703439948,1245.35
1399900,T2E0N6,717 7 AVE NE,3.0,2.0,2.0,2503.0,house,51.058531,-114.046783,1931.0,89.0,2.4274059341487413,6053.34
1399900,T2E0N6,717 7 AVE NE,3.0,2.0,2.0,2503.0,house,51.058531,-114.046783,2006.0,14.0,2.4274059341487413,
1399900,T2E0N6,717 7 AVE NE,3.0,2.0,2.0,2503.0,house,51.058531,-114.046783,1988.0,32.0,2.4274059341487413,
1399900,T2E0N6,717 7 AVE NE,3.0,2.0,2.0,2503.0,house,51.058531,-114.046783,1981.0,39.0,2.4274059341487413,
1399900,T2E0N6,717 7 AVE NE,3.0,2.0,2.0,2503.0,house,51.058531,-114.046783,2018.0,2.0,2.4274059341487413,
389000,T2K6K7,92 Holmwood Avenue NW,3.0,2.0,1.0,1317.0,townhouse,51.0937,-114.080777,1999.0,21.0,5.44353917565465,1682.08
199999,T3N0P5,3305 - 302 SKYVIEW RANCH DR NE,2.0,2.0,,826.0,condo,51.159064,-113.96137,2016.0,4.0,14.931486774509324,864.82
199999,T3N0P5,3305 - 302 SKYVIEW RANCH DR NE,2.0,2.0,,826.0,condo,51.158943,-113.961147,2007.0,13.0,14.928267640676141,1015.74
199999,T3N0P5,3305 - 302 SKYVIEW RANCH DR NE,2.0,2.0,,826.0,condo,51.158943,-113.961147,1976.0,44.0,14.928267640676141,1015.74
199999,T3N0P5,3305 - 302 SKYVIEW RANCH DR NE,2.0,2.0,,826.0,condo,51.158943,-113.961147,1995.0,25.0,14.928267640676141,1015.74
199999,T3N0P5,3305 - 302 SKYVIEW RANCH DR NE,2.0,2.0,,826.0,condo,51.159372,-113.959126,2005.0,15.0,15.04357864365206,1006.66
199999,T3N0P5,3305 - 302 SKYVIEW RANCH DR NE,2.0,2.0,,826.0,condo,51.159372,-113.959126,2016.0,4.0,15.04357864365206,1006.66
199999,T3N0P5,3305 - 302 SKYVIEW RANCH DR NE,2.0,2.0,,826.0,condo,51.159372,-113.959126,2004.0,16.0,15.04357864365206,1006.66
199999,T3N0P5,3305 - 302 SKYVIEW RANCH DR NE,2.0,2.0,,826.0,condo,51.159341999999995,-113.959965,2020.0,0.0,15.009591289460253,734.67
199999,T3N0P5,3305 - 302 SKYVIEW RANCH DR NE,2.0,2.0,,826.0,condo,51.159341999999995,-113.959965,2006.0,14.0,15.009591289460253,734.67
199999,T3N0P5,3305 - 302 SKYVIEW RANCH DR NE,2.0,2.0,,826.0,condo,51.159341999999995,-113.959965,1967.0,53.0,15.009591289460253,734.67
199999,T3N0P5,3305 - 302 SKYVIEW RANCH DR NE,2.0,2.0,,826.0,condo,51.158943,-113.961147,2020.0,0.0,14.928267640676141,920.61
199999,T3N0P5,3305 - 302 SKYVIEW RANCH DR NE,2.0,2.0,,826.0,condo,51.158943,-113.961147,,,14.928267640676141,920.61
199999,T3N0P5,3305 - 302 SKYVIEW RANCH DR NE,2.0,2.0,,826.0,condo,51.158943,-113.961147,1969.0,51.0,14.928267640676141,920.61
234900,T3N0P5,3215 - 302 SKYVIEW RANCH DR NE,2.0,2.0,,879.0,condo,51.159064,-113.96137,2016.0,4.0,14.931486774509324,864.82
234900,T3N0P5,3215 - 302 SKYVIEW RANCH DR NE,2.0,2.0,,879.0,condo,51.158943,-113.961147,2007.0,13.0,14.928267640676141,1015.74
234900,T3N0P5,3215 - 302 SKYVIEW RANCH DR NE,2.0,2.0,,879.0,condo,51.158943,-113.961147,1976.0,44.0,14.928267640676141,1015.74
234900,T3N0P5,3215 - 302 SKYVIEW RANCH DR NE,2.0,2.0,,879.0,condo,51.158943,-113.961147,1995.0,25.0,14.928267640676141,1015.74
234900,T3N0P5,3215 - 302 SKYVIEW RANCH DR NE,2.0,2.0,,879.0,condo,51.159372,-113.959126,2005.0,15.0,15.04357864365206,1006.66
234900,T3N0P5,3215 - 302 SKYVIEW RANCH DR NE,2.0,2.0,,879.0,condo,51.159372,-113.959126,2016.0,4.0,15.04357864365206,1006.66
234900,T3N0P5,3215 - 302 SKYVIEW RANCH DR NE,2.0,2.0,,879.0,condo,51.159372,-113.959126,2004.0,16.0,15.04357864365206,1006.66
234900,T3N0P5,3215 - 302 SKYVIEW RANCH DR NE,2.0,2.0,,879.0,condo,51.159341999999995,-113.959965,2020.0,0.0,15.009591289460253,734.67
234900,T3N0P5,3215 - 302 SKYVIEW RANCH DR NE,2.0,2.0,,879.0,condo,51.159341999999995,-113.959965,2006.0,14.0,15.009591289460253,734.67
234900,T3N0P5,3215 - 302 SKYVIEW RANCH DR NE,2.0,2.0,,879.0,condo,51.159341999999995,-113.959965,1967.0,53.0,15.009591289460253,734.67
234900,T3N0P5,3215 - 302 SKYVIEW RANCH DR NE,2.0,2.0,,879.0,condo,51.158943,-113.961147,2020.0,0.0,14.928267640676141,920.61
234900,T3N0P5,3215 - 302 SKYVIEW RANCH DR NE,2.0,2.0,,879.0,condo,51.158943,-113.961147,,,14.928267640676141,920.61
234900,T3N0P5,3215 - 302 SKYVIEW RANCH DR NE,2.0,2.0,,879.0,condo,51.158943,-113.961147,1969.0,51.0,14.928267640676141,920.61
232800,T3N0P5,6315 - 302 SKYVIEW RANCH DR NE,2.0,2.0,,878.0,condo,51.159064,-113.96137,2016.0,4.0,14.931486774509324,864.82
232800,T3N0P5,6315 - 302 SKYVIEW RANCH DR NE,2.0,2.0,,878.0,condo,51.158943,-113.961147,2007.0,13.0,14.928267640676141,1015.74
232800,T3N0P5,6315 - 302 SKYVIEW RANCH DR NE,2.0,2.0,,878.0,condo,51.158943,-113.961147,1976.0,44.0,14.928267640676141,1015.74
232800,T3N0P5,6315 - 302 SKYVIEW RANCH DR NE,2.0,2.0,,878.0,condo,51.158943,-113.961147,1995.0,25.0,14.928267640676141,1015.74
